Analyte,Fold Change (Positive/Negative),p-value,Positive Median,Negative Median,log2 Fold Change,#NAME?,Statistical test
MPZ.10615.18,0.771702951,0.000648555,9.847409241,10.22129171,-0.373882472,3.188053386,Linear Model
PIANP.14114.18,0.73086177,0.000649915,10.52682893,10.97915846,-0.452329525,3.18714346,Linear Model
NTRK2.4866.59,0.68481227,0.00065113,11.90097389,12.44719343,-0.546219544,3.186332402,Linear Model
PPARGC1A.11825.27,1.08272294,0.000669109,9.060730984,8.946066868,0.114664116,3.17450324,Linear Model
CSF1.3738.54,1.278022305,0.00067811,11.55977505,11.20586204,0.353913016,3.168700032,Linear Model
TNMD.6578.29,1.117235051,0.000691061,10.50225518,10.34232244,0.159932741,3.160483714,Linear Model
GCNT2.7143.9,1.174890701,0.000692998,9.234100567,9.001574017,0.23252655,3.159268067,Linear Model
EPO.5813.58,0.634550896,0.000697699,9.922102653,10.57829486,-0.656192212,3.156331614,Linear Model
TYMSOS.8263.64,1.182230938,0.000698832,10.05651815,9.815006273,0.24151188,3.155627208,Linear Model
HOMER2.12685.57,0.649934902,0.000711485,7.99950563,8.621138501,-0.621632871,3.147834504,Linear Model
FAM189A2.5719.66,1.104724168,0.000714488,9.296506387,9.15282019,0.143686197,3.146004893,Linear Model
PLA2G2C.8850.5,1.17282697,0.000716787,9.534925088,9.304934903,0.229990185,3.144609964,Linear Model
ADAMDEC1.9115.78,1.261622647,0.000723539,10.22360189,9.888321423,0.335280463,3.14053812,Linear Model
ATRN.15499.11,0.834003071,0.000725335,10.11225373,10.37412913,-0.261875399,3.139461584,Linear Model
CDHR3.8222.49,0.864923963,0.000725423,8.951898493,9.16125328,-0.209354787,3.139408969,Linear Model
APCS.2474.54,1.171950834,0.000744844,15.81985777,15.59094572,0.228912047,3.127934778,Linear Model
ADAM17.8959.61,1.138064076,0.000745309,9.655007455,9.468425667,0.186581788,3.127663687,Linear Model
SERPINB13.18841.1,0.675603486,0.000745447,10.15341309,10.71916441,-0.565751323,3.127583514,Linear Model
ANKRD1.15361.37,1.084029217,0.000755125,9.559535801,9.44313216,0.116403642,3.121980884,Linear Model
IGDCC4.9793.145,0.758884114,0.000755634,9.418998505,9.817047007,-0.398048501,3.121688627,Linear Model
CNTN1.2974.61,0.771936057,0.000759211,14.07914548,14.45259223,-0.373446747,3.119637762,Linear Model
IL1RAPL2.5082.51,1.121229142,0.000759645,9.692292887,9.527211739,0.165081148,3.11938914,Linear Model
APOA4.17685.9,0.647030937,0.000790644,10.93538106,11.56347446,-0.628093401,3.102019057,Linear Model
PTGFRN.12727.7,0.760695385,0.00079185,11.89052549,12.28513473,-0.394609243,3.101356999,Linear Model
CFD.2946.52,0.797913133,0.000794438,14.97700203,15.30269843,-0.325696403,3.099940083,Linear Model
LGMN.3622.33,1.250396545,0.00080344,11.06831618,10.74593048,0.322385698,3.095046626,Linear Model
BRD1.11607.15,1.120233246,0.000816207,8.631978427,8.468179277,0.16379915,3.088199791,Linear Model
GDF9.3067.67,1.281253056,0.000826462,9.236301481,8.878746035,0.357555446,3.082776905,Linear Model
SIGLEC11.8913.22,1.184554537,0.00083164,10.70221622,10.4578716,0.244344622,3.080064636,Linear Model
H2AFZ.4163.5,1.450816858,0.000842999,9.912122177,9.375256763,0.536865415,3.074173025,Linear Model
COL2A1.15569.15,0.792537264,0.000855458,10.04080692,10.37625624,-0.335449324,3.067801293,Linear Model
SLAMF6.5128.53,1.159026368,0.000858936,8.493297457,8.280384069,0.212913388,3.066039128,Linear Model
KIT.2475.1,0.769026932,0.00086296,13.41885529,13.79774926,-0.378893971,3.064009234,Linear Model
ITGAL.11617.1,1.127046901,0.00088596,9.847230834,9.674683281,0.172547553,3.052586007,Linear Model
EFNA5.2615.60,0.715058387,0.000887707,11.32763195,11.811499,-0.483867047,3.051730462,Linear Model
LRRC15.6557.50,0.644238443,0.000900243,9.561037573,10.19537091,-0.634333342,3.045640428,Linear Model
GSN.4775.34,0.840088632,0.000905253,8.600705668,8.852092219,-0.25138655,3.043229901,Linear Model
RPS6KB1.8962.48,0.872966232,0.000908348,9.457257109,9.653259355,-0.196002246,3.04174778,Linear Model
GPNMB.8289.8,0.769068325,0.000916519,9.096605325,9.475421645,-0.37881632,3.0378585,Linear Model
SHC4.11692.21,1.163134915,0.0009176,9.435602428,9.21758398,0.218018448,3.037346731,Linear Model
IGDCC3.11952.1,1.114874785,0.000929629,9.25495872,9.098077035,0.156881685,3.031690512,Linear Model
KIF22.12734.112,1.108902745,0.000931307,7.991613505,7.842480664,0.149132841,3.030907182,Linear Model
CYB5R1.18255.6,1.149098003,0.000936806,10.40650214,10.2060003,0.200501846,3.028350325,Linear Model
ALKBH2.18400.52,1.280365321,0.000949659,10.2648791,9.908323597,0.356555507,3.022432388,Linear Model
PET117.19303.64,0.801795848,0.000950631,8.947512976,9.266206124,-0.318693147,3.021988136,Linear Model
NPTN.7194.36,0.737471261,0.000952827,11.77213319,12.21147446,-0.439341266,3.020986165,Linear Model
UNC5D.16307.22,0.706362933,0.000975944,10.1903757,10.69189416,-0.501518456,3.010574936,Linear Model
EFNB1.13104.32,0.847530804,0.000979715,10.14540931,10.3840716,-0.23866229,3.008900116,Linear Model
PCSK1N.9391.60,0.792708548,0.000994049,10.25467076,10.58980832,-0.335137562,3.002592,Linear Model
DEFB103A.5679.16,1.088713119,0.000997348,8.190161592,8.067537745,0.122623847,3.001153494,Linear Model
ARMC5.8785.1,1.078731752,0.001000114,10.16946344,10.06012728,0.109336155,2.999950501,Linear Model
PAFAH2.18914.188,0.786907306,0.001007561,9.155913663,9.501648055,-0.345734392,2.996728724,Linear Model
XG.8044.90,0.789717164,0.00101338,8.710349562,9.050941611,-0.340592049,2.994227865,Linear Model
ITIH4.4811.33,1.190382014,0.001019945,15.25032331,14.99889868,0.251424633,2.991423415,Linear Model
CDNF.4962.52,0.766782442,0.001023025,10.02741018,10.41052097,-0.383110794,2.990113654,Linear Model
RAB13.19282.3,0.84195091,0.001023143,10.96074685,11.20893882,-0.248191975,2.990063681,Linear Model
LEAP2.5708.1,1.424954773,0.001025318,14.60293881,14.09202268,0.51091613,2.989141332,Linear Model
MAP1LC3B.11608.5,0.723588462,0.00102946,13.60707836,14.07383706,-0.466758692,2.987390686,Linear Model
HSPB6.19127.1,0.626313566,0.001030808,11.87555738,12.55060035,-0.675042967,2.986822376,Linear Model
VASN.5682.13,0.849512621,0.001061627,10.72373445,10.95902716,-0.235292714,2.974028141,Linear Model
OVCA2.17697.2,0.664976326,0.001071243,12.05285553,12.64148065,-0.588625114,2.970112181,Linear Model
CCDC101.12788.6,1.100085171,0.001071436,8.084845532,7.947230307,0.137615225,2.970033575,Linear Model
TMEM106B.8687.26,0.915951939,0.001102486,8.358207919,8.484864114,-0.126656195,2.957626941,Linear Model
WISP1.3057.55,1.23175237,0.001109826,10.86132649,10.56061424,0.300712247,2.95474529,Linear Model
VRK1.12553.5,1.130104147,0.001123667,9.52147363,9.345017897,0.176455733,2.949362259,Linear Model
RPA2.19264.6,1.153304103,0.001127611,11.6127916,11.40701863,0.205772973,2.947840803,Linear Model
