"","x"
"880","SNCA"
"881","IGKV1D-16"
"882","ACY1"
"883","IGHV3-53"
"884","HBG1"
"885","RPSA"
"886","IGKV1-12"
"887","IGHV4-39"
"888","NUMA1"
"889","CD59"
"890","MIF"
"891","EPPK1"
"892","IGLV2-14"
"893","IGHV3-11"
"894","NME2"
"895","IGKV6-21"
"896","IGHV3-9"
"897","MGP"
"898","IGLV5-45"
"899","IGHV3-33"
"900","IGHV5-10-1"
"901","IGLV2-18"
"902","PTGDS"
"903","ICOSLG"
"904","IGHV3-73"
"905","IGHV2-26"
"906","IGKV1-16"
"907","CKB"
"908","IGKV3-15"
"909","IGKV1D-33"
"910","RPS28"
"911","IGLV1-47"
"912","CALM3"
"913","IGLV9-49"
"914","IGHV7-4-1"
"915","IGLV10-54"
"916","IGHV2-70D"
"917","IGHV3-21"
"918","IGHV3-64"
"919","IGHV3-30-5"
"920","HNRNPD"
"921","IGKV2-24"
"922","H2BC21"
"923","HNRNPM"
"924","IGHV4-30-2"
"925","H2AC20"
"926","IGHV3-64D"
"927","IGHV3-48"
"928","IGKJ1"
"929","APOC4"
"930","TUBA1C"
"931","SUPT6H"
"932","IGLV5-52"
"933","IGKV3D-7"
"934","ADARB1"
"935","IGKV1-9"
"936","IGLV5-39"
"937","ABCC2"
"938","ACTC1"
"939","KRT20"
"940","SEPP1"
"941","APOC4-APOC2;APOC2"
"942","CFHR3;CFHR4"
"943","IGLV3-12"
"944","IGKV2-28"
"945","IGKV2D-30"
"946","IGKV2-29"
"947","ERN1"
"948","IGHV3-43D"
"949","DEFA1"
"950","H4C1"
"951","HBG2"
"952","REG3A"
"953","NME3"
"954","HBA2"
"955","IGKV1-6"
"956","IGLC3"
"957","IGHV3-30-3"
"958","KRT4"
"959","HIST1H4A"
"960","WHAMM"
"961","IGLV5-37"
"962","IGHV1OR15-1"
"963","IGHV3-30"
"964","IGKV2D-28"
"965","IGKV1D-37"
"966","ACTG1"
"967","C4B_2"
"968","ACTG2"
"969","IGLV4-3"
"970","PRAP1"
"971","EIF4A2"
