"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"MAN2A1",0.328426867785228,0.0299523884904212,3.78428813285117,0.000867836998320878,0.00808203815269284,-0.797625428900518,"MAN2A1"
"CILP2",-0.450362041259056,0.116450732076201,-3.7838890209646,0.000868717495725917,0.00808203815269284,-0.798588979186706,"CILP2"
"EEF2",0.548383801402113,0.0708566862032412,3.78316647316868,0.000870313772304103,0.00808203815269284,-0.800333316896293,"EEF2"
"CFI",0.431988588498674,0.025656750338016,3.78213630229849,0.00087259464510152,0.00808203815269284,-0.802820161486784,"CFI"
"CNTN1",-0.479937025810158,0.0497812772626208,-3.78024228867254,0.000876803464569824,0.00808203815269284,-0.80739189974366,"CNTN1"
"TTC3",0.453804276581458,0.160112368721223,3.77734766020657,0.000883274383948568,0.00808328125813889,-0.814377819208158,"TTC3"
"SCGB1A1",-0.856035035032051,-0.0285435679247532,-4.07018241682912,0.00135965180106818,0.0105166111047839,-0.815164329679368,"SCGB1A1"
"ANGPTL4",-0.420106594493547,0.0771188150317397,-3.77612319350204,0.000886025770285038,0.00808328125813889,-0.817332560755991,"ANGPTL4"
"APOL3",-1.47438602067599,-0.213413525078158,-3.76259033150125,0.000917000574955232,0.00832318379002734,-0.849972696981538,"APOL3"
"ANP32A",0.799277478684371,-0.0721037728186685,3.7560293090505,0.000932398199121775,0.0084139120565831,-0.865786812612408,"ANP32A"
"CADM1",-0.392768384067228,0.0756948582114971,-3.75249996307004,0.000940785705952824,0.0084139120565831,-0.874290769447081,"CADM1"
"TRHDE",-0.536266951499184,0.0440602894512962,-3.75233262657346,0.000941185215997772,0.0084139120565831,-0.874693916555209,"TRHDE"
"LMNB1",0.759606728907453,-0.060481034601185,3.74823817290858,0.000951012644826445,0.00843830048988288,-0.884556857886008,"LMNB1"
"SERPINA5",-0.608872884486426,0.0682737416778719,-3.74724983484237,0.000953399886715266,0.00843830048988288,-0.88693721125867,"SERPINA5"
"IGFBP3",-0.568801418754588,-0.0217536594322534,-3.74374112828517,0.000961922458551371,0.00844970571408169,-0.895386433547433,"IGFBP3"
"ALAD",0.465540737187672,-0.1597197571337,3.74181988640728,0.000966620751360537,0.00844970571408169,-0.900012070541663,"ALAD"
