"","COVIDX1","COVIDX2","COVIDX3","COVIDX4","COVIDX5","COVIDX6","HC2","HC3","HC4","COVIDX17","COVIDX18","COVIDX19","COVIDX20","COVIDX7","COVIDX8","COVIDX9","COVIDX10","COVIDX11","COVIDX12","COVIDX13","COVIDX14","COVIDX15","COVIDX16","HC5","HC6","HC7","HC9"
"FGL2",0.424601614927003,-0.308791206775661,-0.3514668949102,-0.630687666705928,0.168950724367909,-0.300262536987213,0.247065580970196,0.181030042424529,0.272733726591937,-0.363866926021224,-0.261153442667756,-0.124747530494819,-0.105338572319901,0.195006309061251,-0.134960872871625,-0.25070810670268,0.0942312104407552,-0.488183861461529,0.265332207098176,0.294206067603669,0.0553829796194165,0.0452084275214713,0.366493234029729,0.0949833964906155,0.0397456794147342,-0.124605970463321,0.172272295465088
"PSAP",0.468536583689596,-0.0677472307789202,-0.0613006955976267,0.247970096783224,0.18672775084504,0.101474435524488,0.00501759201121121,0.0326184691519451,-0.153210485822088,0.0286250682132252,-0.0453066089922185,-0.156112883372204,0.0557114758059516,0.0695396843309677,-0.259097343495149,0.295762504945358,-0.0166343274514915,0.11323560841452,-0.342610935352194,0.268489882964104,0.511709311545069,0.00766231197875555,-0.0847589570456968,-0.17150890345377,0.246874298052273,-0.0353976999131653,0.0527192956188784
"CCDC18",0.278477742288876,0.252742548137849,-0.216549077005112,-0.262391746443956,0.202236201608621,-0.228578424636921,-0.101769796372668,0.0984874174906345,-0.195423884064828,0.0412199175679859,0.317935942051002,0.0146083200501579,0.311313123670901,-0.233652766620292,-0.305019944444183,-0.294702141021038,0.042360197703097,-0.218922771719097,-0.412926999571102,-0.31204374046775,0.168025520916245,-0.0117388042842492,-0.411542275218741,0.684791409820043,0.29482579556473,0.440612509075436,0.130368945030519
"STAG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.204692756014204,-0.364725616396157,-0.271875816078403,-0.243737537478722,-0.195113372548388,-0.20906459218487,0.0180282850118658,-0.358658560647168,-0.0233567689666678,-0.368350441958064,0.200289482989152,0.979026420041205,0.410355622411796,0.320626625411361
"LTBP1",0.268457348389449,0.0137258382870815,-0.0973779282264893,0.220578362766179,-0.188995327008196,-0.0360093853643813,0.0765454295715955,0.285989317433845,-0.0964737995795453,0.0784192334412399,0.0635324964308923,-0.234955176934646,-0.225911501450268,-0.310545190665916,-0.181139070978205,-0.011127583646708,-0.0285703378739974,0.180680436564877,-0.319323843304677,-0.224612543623145,-0.106808217931803,0.0821972869851031,-0.113051606436532,-0.00938749332670064,0.259868780711578,0.0365452560642723,-0.0412563704693234
"IGHV4-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00845334229225969,0.0791793934170713,0.517401071995533,-0.505441272132607,0.942509194749203,-0.419931762073968,-0.369269081424669,-0.428194645677269,0.203906406980977,0.225334797502912,0.204916305089881,-0.309213491484698,0.0608845765129722,0.368484938279209
"ANXA1",-0.353862985648183,-0.285137641024645,0.868305258318025,0.356994464030129,-0.34390674374634,-0.0515178253136206,-0.650414958888591,-0.380142933143159,-0.274872585200758,-0.1333502143218,-0.179532164809881,0.156468877220425,0.229643423679367,0.229289041415001,-0.531552820643658,0.0989729118781959,-0.578887000123053,1.0334182438909,-0.710692629092419,0.620859380353384,-0.110191396897427,-0.840712140043937,-0.470199766656052,-0.686719850064685,-0.741231059875352,-0.0120746186398328,-0.656675040211274
"TFRC",-0.102981162171394,0.863488707374025,0.120350278413484,0.153432502370721,0.0381711088150238,-0.246191426918501,0.0278454090395446,0.554895072860836,0.0798331005354749,0.498739323507396,-0.285732729377815,0.18103636432439,0.172999467771879,-0.0300411296766043,-0.429475170884267,0.105793225639172,0.0461000311517523,-0.452135768812969,-0.0630757924734553,0.166618483276348,0.027980165077933,0.601530033615211,-0.092884231777469,-0.158968008035563,-0.0852357065882536,0.0996793507148741,0.0201569185853572
"PCSK9",-0.00220284853379837,-0.0107725956771478,0.143623732245893,-0.0830370678626817,0.405259293754948,-0.0468808477344451,0.073018044764277,-0.249721792629675,-0.164016176292127,-0.156791446563025,-0.0171108786320504,0.385091454169356,0.223447997567394,-0.0132065818806311,-0.126820216641438,0.0560333570577356,0.136099107785302,0.123991604101104,-0.0958229608555214,0.123461395838042,0.324855080607538,-0.23222363921567,0.298759547820488,-0.346642669695811,0.0910394157124728,-0.16170828473312,-0.123087742326494
"CSPG4",0.0300214594842716,-0.0244236245784073,-0.175748706780075,-0.104971778434839,0.125697121074382,-0.207687011444504,0.458671071410935,0.678066651226943,0.512416568160642,-0.0382083356691263,0.0456510058603889,-0.00743046721253471,0.022185235040129,0.0938744270306593,0.0656886731715627,-0.215299523643484,0.10052801877913,-0.165054631029435,0.287890346998356,0.0905687171822258,-0.125264892546927,0.0447039670568579,0.358388103157115,0.0490429870954348,-0.0965059603135323,-0.0156529461439021,0.4095452250777
"CHMP4B",-0.215524382491479,-0.0451219142520358,-0.33763388722145,-0.475734627604954,-0.218458106486994,-0.051198583097988,0.15163824001062,0.118947574634529,1.16258491225525,-0.135525999575741,-0.226420311762605,-0.104114495366723,-0.124603403942759,-0.200146914338973,0.0637095859364472,-0.040449378430953,-0.0930154465422817,-0.0669936609784152,0.0465221508490714,-0.204658159917251,0.00385958468616465,-0.31254950003088,0.109844495199646,0.0676103768249376,-0.0874760050302825,-0.0345053811369418,0.214098433638348
"IGKV1-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48761484771582,-0.0816441396656895,0.539390359018878,-0.330340482836309,0.179761628103961,-0.541453945073139,-0.517461634309415,-0.667644154542751,-0.110905083033765,-0.127701264128637,-0.0710914401182521,-0.283958597155273,0.188626749011291,-0.10635221446528
"ZC4H2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109206724187423,0.519491964271682,-0.329071834466369,-0.409974394399885,-0.310600593139041,-0.0615966976590947,0.0113859583831566,-0.247314712647874,-0.16244316962438,0.658877903440349,0.739605508500823,-0.137536582938619,0.164408916326174,0.563572026686559
