"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"PREP",0.256976582277416,0.019248403003185,2.13077808669936,0.0431948329245226,0.119137376391823,-4.4029322351664,"PREP"
"MYL9",0.28887120502102,-0.0678358690865244,2.129901796196,0.0432740237501657,0.119171034445116,-4.40453309713733,"MYL9"
"MMP11",-0.520671689427997,-0.22707510680006,-1.99483646659161,0.0677472306303732,0.163530967830982,-4.41022627901513,"MMP11"
"CTSZ",-0.280906887100554,0.000947450611956111,-2.12428022550746,0.0437851502774773,0.120392244735135,-4.41479221983399,"CTSZ"
"DLD",0.276331573598862,-0.0433148893369515,2.1229617519461,0.0439058092723633,0.120537707863479,-4.41719568990467,"DLD"
"GALNT10",-0.198857124157672,0.00578204404680342,-2.11977827367935,0.0441983710765388,0.120781723725288,-4.42299469594266,"GALNT10"
"CTSW",-0.204734738512059,0.0218525228406363,-2.1145443491122,0.04468316426368,0.12191924727774,-4.43251580193464,"CTSW"
"ROBO4",-0.29008825017195,0.122081888152349,-2.1137621043489,0.0447560271544194,0.121931044881642,-4.43393740553015,"ROBO4"
"RNH1",0.212858840202892,0.00181978054882056,2.11275901290948,0.0448496165698629,0.121999186357471,-4.43575983315298,"RNH1"
"HTRA1",0.327817960990707,0.19668409937236,2.11186678985568,0.0449330089500494,0.122039424308607,-4.43738033396983,"HTRA1"
"PDGFB",-0.292558158964804,0.0322438541183828,-2.10682989019036,0.04540639397379,0.123137156828312,-4.44651976808622,"PDGFB"
"TAGLN",-0.358392652731378,-0.151327636473588,-1.96863584552003,0.0709819889699555,0.170414248822606,-4.45080616911037,"TAGLN"
"CACYBP",0.318461219350916,-0.00977746605097565,2.10277128370586,0.0457910745524315,0.123802920408474,-4.45387314891949,"CACYBP"
"AHSA1",0.27106020964207,0.0848382510203255,2.10152167460345,0.0459100993676518,0.123936368399169,-4.45613521992826,"AHSA1"
"MYH9",0.268596770933836,-0.0475914316221203,2.09951807532294,0.0461015185270842,0.124021423618221,-4.45976024295687,"MYH9"
"EXT1",-0.253896883763494,0.167228649621914,-2.09900397803443,0.0461507489799112,0.124021423618221,-4.46068999116734,"EXT1"
"HMGB2",0.58785827675657,-0.0694667057454703,1.96060515154586,0.0720014902388659,0.172164853675998,-4.46318942569761,"HMGB2"
"S100P",0.750569486855389,-0.264698561701417,2.09676995064451,0.0463652274773512,0.124409863774069,-4.46472841559783,"S100P"
"PCDHGC3",-0.256779302672926,-0.0735629254758822,-1.95630699943164,0.0725526397785514,0.172337339786197,-4.46980643738971,"PCDHGC3"
"UTS2",0.407432456177656,-0.199219625440815,1.95551308327805,0.0726548650026125,0.172337339786197,-4.47102785268069,"UTS2"
"FMOD",-0.228157228901099,0.141799994241502,-2.09118729348918,0.0469050886547074,0.12547992889733,-4.47480710413447,"FMOD"
"HDGF",0.283017686702278,-0.0592615017345188,1.94830339008207,0.0735892446025015,0.173858255176428,-4.4821079914764,"HDGF"
"RAD23A",0.330310209603257,-0.0152045728111717,1.94384280387196,0.0741728309734588,0.17477280304872,-4.48895255137027,"RAD23A"
"ANKRD31",-0.42767701093442,0.005469860845773,-1.94192415506196,0.0744251504069083,0.174904019252166,-4.49189411401604,"ANKRD31"
"HMCN1",0.253253190871942,0.0755650582032215,2.0814817655194,0.04785701167748,0.127564769057721,-4.492284664543,"HMCN1"
"SLC38A10",-0.175177976779544,0.045274722738102,-2.08014564745488,0.0479893989899835,0.127564769057721,-4.49468629958481,"SLC38A10"
"CETP",-0.384100682550214,0.131432011006948,-2.07960618979744,0.0480429428154431,0.127564769057721,-4.49565565563372,"CETP"
"RAB7B",-0.33440250974011,0.110397469307476,-2.07559334658389,0.0484429113197789,0.128435080831426,-4.50286087218455,"RAB7B"
"COL6A3",-0.177320528550425,0.0735702254378696,-2.07323086112572,0.0486797702643159,0.128870998958658,-4.50709827068645,"COL6A3"
"GOT1",0.499511962614642,-0.0381560130160847,2.06799149979008,0.049208744067839,0.130077794497304,-4.51648366883896,"GOT1"
"DPP4",-0.210864335989204,0.0723787472505326,-2.06678840698099,0.0493309302001458,0.13020730686359,-4.51863645643215,"DPP4"
"ABTB2",-0.319818332275175,-0.128759911639144,-1.92356843765343,0.0768790325122484,0.178781436391229,-4.51995899391168,"ABTB2"
"GRN",0.33960994033019,-0.0474366293559424,2.06305467280796,0.049711849467069,0.131018341039875,-4.52531193734032,"GRN"
"PCBP1",0.447624448211894,0.121281821585305,2.06080491847755,0.0499426330753989,0.131249474229292,-4.52933015538767,"PCBP1"
"SAA1",0.35822602744757,-0.040316714499066,2.06076144749033,0.0499471017724737,0.131249474229292,-4.52940776735503,"SAA1"
"CLUL1",0.293372433224171,0.0229769406828916,1.90974882665396,0.0787749545928533,0.182711628714997,-4.54099531956926,"CLUL1"
"ACAN",-0.276270632795332,0.0297718901132633,-2.05422832144917,0.0506227450266115,0.1328287070831,-4.54105878514764,"ACAN"
"FAM71C",0.720118441578627,-0.238243467380889,1.90901221954814,0.0788771955329498,0.182711628714997,-4.54211432000673,"FAM71C"
"CPNE1",0.459180135401247,0.0103687074347934,1.90384551763751,0.0795977337875648,0.183663253447572,-4.54995670583724,"CPNE1"
"DCAF4",0.290446119510586,0.149142439787357,2.04871558601974,0.0511991677923262,0.134143327691529,-4.55086984517193,"DCAF4"
"AK1",0.364299159540609,0.0224582504522782,2.04787791665108,0.0512872645941941,0.134176534872164,-4.55235902908087,"AK1"
"ATP6V1A",0.442450863856156,-0.0516399652713635,2.04650891199382,0.0514315311828334,0.134356378816829,-4.55479188228468,"ATP6V1A"
"ADAMTSL4",0.286629275473324,-0.0359749653442943,2.04301670209351,0.0518011757085073,0.135123594700051,-4.56099268452716,"ADAMTSL4"
"RSU1",-0.412474320092693,0.0454488216717441,-2.04230110705728,0.0518772107100673,0.135123803591815,-4.56226238048677,"RSU1"
"TDRP",0.2935447908117,-0.0301043533289817,1.89160442213138,0.0813288022043083,0.186930153903701,-4.56849146263441,"TDRP"
"ASL",0.523131765840248,-0.128128133161593,2.03792904025041,0.0523439161609392,0.135941353066147,-4.5700130165399,"ASL"
"PTPN4",-0.861173489152726,0.12950389818654,-1.8897140133001,0.08159916105046,0.18730955807583,-4.5713480524621,"PTPN4"
