"","x"
"PROCR",3.20321967592018
"YWHAB",4.24038459990976
"MYL9",50.3073375068843
"PRDX5",9.71540028921095
"CDHR2",36.626729442871
"TTN",3.47245167340156
"GBE1",38.2775667685925
"RAB1B",7.67031953919343
"CTSC",2.05079365075717
"UGP2",15.3632434447966
"ICAM1",4.91681458144053
"PGM2",3.95999999969823
"CA1",6.76742348720704
"THBS3",30.2369376182117
"ADAMTS13",19.2000225595855
"CFHR1",6.06381341795295
"CNN2",8.75273999506014
"EXT2",10.9193521960872
"PLOD1",4.32952452152557
"PSMB3",6.94535787538976
"B3GNT2",13.0307024407678
"FUCA1",5.74612707273121
"LGALS1",2.86152130362537
"NAPA",11.014182057788
"BCHE",6.30378528534156
"DAG1",4.64992906079233
"SCGB3A1",10.564296646836
"AKAP12",24.7331275617492
"HPRT1",32.7737133210891
"C1QA",4.48107668501934
"IGHV2-5",5.64820522992003
"TXNDC5",3.56511697716332
"CAP1",4.9844886346646
"PTPRS",32.9186886874669
"CCL18",8.64646622628134
"PEBP1",26.0236835661806
"MYL1",13.0628861531776
"PDIA6",5.50666492811899
"CAPN1",7.26804523583516
"NRP1",11.2504630186636
"ANGPTL3",4.05803639765592
"SFTPB",8.9466366372787
"HRNR",2.52292745506178
"QPCT",36.4918125935398
"CA3",8.84890261742632
"DSP",3.83907714181548
"CNDP1",6.23456360042698
"RPL23A",17.6760998320163
"THBS1",9.23857840786029
"ATP6V1A",6.48075283277982
"LAMB2",7.52199412846612
"PSMA3",8.33032158439708
"UMOD",30.985452029522
"RPL10A",4.75267465959565
"TPM1",16.1197574457749
"WDR1",6.09062033964811
"VCP",5.68402051781562
"UBE2N",110.501684276986
"APEH",8.85844146040952
"CILP2",93.3654099887457
"FAH",4.79894975917921
"HSPA6",11.5621867829211
"ORM2",6.14711561833928
"RPS12",22.5774339580233
"QSOX1",3.7172082160009
"FLNA",5.49306348080857
"IGHV3-72",6.95413923248031
"IGFBP6",11.2545535357435
"MB",4.1012044920379
"PROC",5.4033000676091
