"","Sensitivity","Se 95% CI, Lower limit","Se 95% CI, Upper limit","Specificity","Spec 95% CI, Lower limit","Spec 95% CI, Upper limit","Std Dev Study","Corr study","N_study","Mean posLR","Median posLR","posLR 95% CI, Lower limit","posLR 95% CI, Upper limit","Mean negLR","Median negLR","negLR 95% CI, Lower limit","negLR 95% CI, Upper limit","Mean DOR","Median DOR","DOR 95% CI, Lower limit","DOR 95% CI, Upper limit","AUC","abs_diff","protein","cat","Wald_Pval","adj.Pval"
"281",0.630434782607554,0.483853325773955,0.756350492358607,0.740740740089123,0.547139253815946,0.871078181335659,1.80855962151207e-11,NA,3,2.6,2.41,1.31,4.99,0.516,0.504,0.319,0.78,5.62,4.87,1.71,13.9,NA,0.11030595748157,"EZR","Not significant",0.0124495964560651,0.0151106976985491
"282",0.894348156140277,0.481354413510536,0.987213656832561,0.453261739971746,0.197281688408775,0.736599839522968,0.842675788340447,-1,3,1.75,1.61,0.648,3.67,0.452,0.237,0.0195,2.19,25.7,7,0.294,166,67,0.441086416168531,"TKFC","Not significant",0.06838288193744,0.072647459913845
"283",0.809259560767522,0.590564233583063,0.925815102161481,0.664696641658459,0.409722851003859,0.849885256697183,0.726509319870363,-0.518933688182287,4,2.64,2.38,1.19,5.65,0.331,0.292,0.101,0.78,12.2,8.41,1.55,45.6,80,0.144562919109063,"FBP1","Not significant",0.00395195120022579,0.00530753058840836
"284",0.689712797201254,0.585926370766125,0.777369712119808,0.757764925439545,0.582704437177308,0.87512394220374,1.1697413471508,-0.886619426734574,11,3.07,2.84,1.47,6,0.426,0.411,0.263,0.674,8.26,6.95,2.2,22,77,0.0680521282382907,"PFN1","70-79%",1.21185094159803e-12,1.14275972357233e-11
"285",0.68212638221893,0.524703058081671,0.806625286405691,0.79295114441562,0.609074940833416,0.903974573562291,0.0343675874144262,-1,3,3.56,3.26,1.65,7.22,0.416,0.406,0.24,0.648,9.68,8.22,2.68,25.3,82,0.11082476219669,"STIP1","80-89%",0.00105492476893919,0.00163893112102393
"286",0.609161797858303,0.512349325346213,0.698080317247292,0.676338122669854,0.463157568047292,0.835019089478127,1.08369104024196,-1,8,2.05,1.88,1,4.06,0.607,0.579,0.376,0.999,3.9,3.26,1,10.6,65,0.067176324811551,"TNC","Not significant",2.43885431997645e-05,5.419056166355e-05
"287",0.483364751314056,0.375723673025937,0.592571966256571,0.841553470776655,0.734443794053364,0.9107134783863,0.893446699015437,-0.305391009816829,11,3.22,3.04,1.64,5.85,0.62,0.616,0.47,0.793,5.48,4.97,2.09,11.8,71,0.358188719462599,"IGKV1-17","Not significant",2.38805079830997e-06,6.44110368099716e-06
"288",0.413793103448276,0.252129773580809,0.59644449544347,0.999999999936673,0,NA,6.71682792242889e-06,NA,3,9.4e+14,8.39e+14,0.275,2.56e+15,1.31e+15,0.803,0.432,3.26e+15,1.71e+15,1.03e+15,8.42e-17,5.91e+15,NA,0.586206896488397,"SFTPD","Not significant",0.65265685130117,0.653329693415913
"289",0.588116038968292,0.424060565636967,0.734678646476392,0.785077325138193,0.623692215123723,0.889511224860389,0.582838874450422,-1,4,2.97,2.72,1.26,6.12,0.542,0.527,0.313,0.857,6.41,5.22,1.48,18.4,74,0.196961286169901,"CLTC","Not significant",4.91315473853431e-05,0.000101937462630701
"290",0.624850657057198,0.471931166982966,0.756349814174525,0.844833010729972,0.628772678570674,0.945951985913677,0.460182792601739,1,4,4.62,3.98,1.67,11.3,0.459,0.452,0.292,0.67,11.1,9.05,2.63,31.2,76,0.219982353672774,"ADGRF5","Not significant",0.00868706116402717,0.0108142774234236
