"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","uniprot","gene_name","gene_id","entrez_id","prot_id"
23.1461994292157,23.12545787,1.7185004405919,1.71971133906303,102,27,"P05362","ICAM1","ENSG00000090339",3383,"ENSP00000413124"
29.8437443544118,30.0571532096296,0.508627748179674,0.454057060529947,102,27,"P05543","SERPINA7","ENSG00000123561",6906,"ENSP00000329374"
32.6755392514706,32.5528666211111,0.457361853467149,0.791099663112747,102,27,"P05546","SERPIND1","ENSG00000099937",3053,"ENSP00000215727"
21.9038305946078,21.9192225848148,1.68282601364494,1.72680003827819,102,27,"P05976-2;P05976","MYL1","ENSG00000168530",4632,"ENSP00000343321"
26.8359147057843,27.283093357037,0.51633187950389,0.622520841678354,102,27,"P06276;F8WF14;F8WEX7","BCHE","ENSG00000114200",590,"ENSP00000264381"
29.3453944038235,29.62333644,0.732343391376385,0.623777700975783,102,27,"P06310","IGKV2-30","ENSG00000281933",NA,"ENSP00000488685"
31.9206247590196,31.8842382318519,0.618950095209721,0.45997533937717,102,27,"P06312","IGKV4-1","ENSG00000211598",NA,"ENSP00000374778"
26.5151743570588,25.2737608362963,1.60190824233694,1.35316635634741,102,27,"P06331","IGHV4-34","ENSG00000276491",NA,"ENSP00000482820"
31.854555105098,32.4955654296296,0.491989624435958,0.522387923202671,102,27,"P06396;A0A0A0MS51;A0A0A0MT01;P06396-4;P06396-3;CON__Q3SX14","GSN","ENSG00000148180",2934,"ENSP00000362929"
22.8570081455882,22.1870233959259,1.92720944547432,1.9414431210489,102,27,"P06576;H0YH81;F8W079","ATP5B",NA,NA,NA
29.2686148604902,29.0038873707407,0.340061965780755,0.270861443895029,102,27,"P06681;A0A0G2JL69;P06681-3;A0A0G2JIE7;H0Y3H6;P06681-2;B4DQI1;E9PDZ0","C2","ENSG00000231543",717,"ENSP00000400097"
24.6234421022549,23.1563755185185,2.53484078226353,2.60510933423418,102,27,"P06702","S100A9","ENSG00000163220",6280,"ENSP00000357727"
32.077099939902,32.8698989214815,0.982317562855121,1.13055928618186,102,27,"P06727","APOA4","ENSG00000110244",337,"ENSP00000350425"
21.5230994822549,22.3991808355556,2.11649676930174,3.12049768139197,102,27,"P06732","CKM","ENSG00000104879",1158,"ENSP00000221476"
25.2577505082353,24.8162587088889,1.27649054091012,1.79207980793267,102,27,"P06733;A0A2R8Y6G6;P06733-2;K7EM90","ENO1","ENSG00000074800",2023,"ENSP00000234590"
20.8738158187255,21.2931918851852,1.45044752569565,2.33735242453064,102,27,"P06737;P06737-2;E9PK47","PYGL","ENSG00000100504",5836,"ENSP00000431657"
24.8337330726471,24.9546372392593,1.47481286897361,1.74796369323263,102,27,"P06744;A0A2U3TZU2;A0A0A0MTS2;P06744-2;K7EQ48;A0A2R8Y6C7;A0A0J9YYH3;A0A0J9YXP8;A0A0J9YX90","GPI","ENSG00000282019",2821,"ENSP00000488871"
26.1286661201961,26.0093714311111,0.52563124568908,0.625234607816002,102,27,"P07195;A0A3B3IS95;A8MW50;C9J7H8","LDHB","ENSG00000111716",3945,"ENSP00000379386"
23.1483087786275,22.5418555866667,1.51938910332179,2.00061837615847,102,27,"P07237;H7BZ94;H0Y3Z3","P4HB","ENSG00000185624",5034,"ENSP00000505575"
30.4567055921569,30.2634567233333,0.305304172217707,0.311803981969965,102,27,"P07357","C8A","ENSG00000157131",731,"ENSP00000354458"
30.9974079406863,30.913015282963,0.358547603144577,0.32735718233862,102,27,"P07358","C8B","ENSG00000021852",732,"ENSP00000360281"
30.0245683376471,29.8700689703704,0.316303373249055,0.396359987957676,102,27,"P07360;Q5SQ08","C8G","ENSG00000176919",733,"ENSP00000360697"
21.5621424773529,21.1409633714815,1.29703725507993,1.56323506946809,102,27,"P07384;E9PL37","CAPN1","ENSG00000014216",823,"ENSP00000435847"
27.1080456759804,26.8177942718519,0.863880642961336,1.19776144297095,102,27,"P07737;K7EJ44","PFN1","ENSG00000108518",5216,"ENSP00000225655"
25.6865660390196,25.1460627440741,0.644950027390699,0.721993811116183,102,27,"P07900;P07900-2","HSP90AA1","ENSG00000080824",3320,"ENSP00000216281"
25.6368485638235,25.8919223881481,1.03238928763795,0.791337451995506,102,27,"P07998;G3V357","RNASE1","ENSG00000129538",6035,"ENSP00000381057"
30.9677705436275,31.0610664844444,0.346607123462108,0.524267660446018,102,27,"P08185;G3V350","SERPINA6","ENSG00000277405",866,"ENSP00000486588"
22.7518876108824,21.6527521203704,1.85450350040548,1.68960065219785,102,27,"P08238","HSP90AB1","ENSG00000096384",3326,"ENSP00000360709"
21.2399793761765,21.3026639866667,1.68558551347123,2.09999967940595,102,27,"P08246","ELANE","ENSG00000277571",1991,"ENSP00000488075"
23.4066902619608,23.3937506151852,2.08251766587757,2.91009739932116,102,27,"P08294","SOD3","ENSG00000109610",6649,"ENSP00000472134"
23.06310779,22.624764022963,1.67032277770164,1.66159204061801,102,27,"P08493;P08493-2","MGP","ENSG00000111341",4256,"ENSP00000445907"
