"mean_covid","mean_healthy","sd_covid","sd_healthy","number_covid","number_healthy","uniprot","gene_name","gene_id","prot_id","entrez_id"
-1.3828953125,-1.4411808575,1.44441140597106,1.41541840663647,20,10,"B3KUE5;P55058;Q53H91","PLTP","ENSG00000100979","ENSP00000335290",5360
3.942417,3.5965755,0.957823553699796,0.534179016209038,20,10,"B4DPQ0;Q53HU9;Q53HT9;A8K5J8;F5H2D0;P00736;B4E1B0","C1R","ENSG00000288512","ENSP00000500036",715
0.498684225,0.341774563,1.35796781283956,0.586270945370915,20,10,"B4E1C4;E7END6;B4DPQ3;P04070;B4DPC8","PROC","ENSG00000115718","ENSP00000392606",5624
-2.893426825,-2.3773715,2.04153344003858,1.30260188575669,20,10,"B4DTY9;H3BM21;L7UUZ7;P05106;Q2YFE1;I3L4X8;L7UW06","ITGB3","ENSG00000259207","ENSP00000452786",3690
2.0959847525,0.37313835,2.00902292719502,1.40315827116416,20,10,"B4E0X1;P61769;H0YLF3;F5H6I0;A6XND9;A6XMH4;A6XMH5","B2M","ENSG00000273686","ENSP00000481426",567
2.9359198,3.57920425,1.11584188282587,0.605431934074584,20,10,"B4E1B2",NA,NA,NA,NA
5.532852,5.69317025,0.969965669562588,0.494308856407456,20,10,"B4E1C2;P01042","KNG1","ENSG00000113889","ENSP00000396025",3827
6.08570075,5.5523,1.36550924897644,0.716013780178535,20,10,"B4E1D8",NA,NA,NA,NA
5.831133,5.6895645,1.08516507399905,0.508731783137954,20,10,"B4E1Z4;P00751","CFB","ENSG00000242335","ENSP00000391902",629
-4.09375755,-4.456873,1.67564870664391,1.42633323006387,20,10,"B4E367;Q6UX71","PLXDC2","ENSG00000120594","ENSP00000366450",84898
6.80855075,6.36861775,1.56226594933472,0.767260778716194,20,10,"B7Z1F8",NA,NA,NA,NA
3.280886125,3.3599665,1.36862440807817,0.55364982642486,20,10,"B7Z550;B7ZA94;B7Z555;P07358;A8K9M5","C8B","ENSG00000021852","ENSP00000360281",732
-3.233330275,-1.84790495,1.44794018980728,1.15839562119507,20,10,"B7Z8A2;Q9UHG3;Q584P1;B7Z3Y2;F8W8W4","PCYOX1","ENSG00000116005","ENSP00000404327",51449
6.529511,7.86458475,1.00292813206814,0.60868845598144,20,10,"C9JV77;B7Z8Q2;P02765","AHSG","ENSG00000145192","ENSP00000393887",197
-4.669138,-5.277705,1.06638958327349,0.58538812378816,20,10,"B7Z9B1;P55290","CDH13","ENSG00000140945","ENSP00000268613",1012
-0.564005588,-1.73073555,1.02314899914884,1.45970526713176,20,10,"B7ZKX2;P59923","ZNF445","ENSG00000283034","ENSP00000489368",353274
5.4632505,5.55770775,1.0157877867499,0.602514556260826,20,10,"C0JYY2;P04114;E1A689","APOB","ENSG00000084674","ENSP00000233242",338
5.24529515,5.648204,1.98878187907632,0.469619208217324,20,10,"C9JF17;P05090","APOD","ENSG00000189058","ENSP00000345179",347
-1.8149202775,-1.81400000000498e-05,2.71385885887943,1.72433986412732,20,10,"D0PNI1;P63104;E7EX29;E7ESK7;B0AZS6","YWHAZ","ENSG00000164924","ENSP00000379287",7534
-0.1157208475,-3.25171232,3.89510978483458,2.20211473996671,20,10,"D1MGQ2;P69905;G3V1N2;A0A0K2BMD8;U6A216;E9M4D4;I1VZV6;Q96T46;P78461;Q4ZGM8;E1B2D1;V9H1D9;Q86YL2;Q6J1Z9;Q9NQT3;Q9BX83","HBA2;HBA1",NA,NA,NA
-0.33663041775,0.17411869225,0.694289075050727,0.421091104827279,20,10,"D3DNN4;P06276;A0A024CIM4;F8WF14;F8WEX7","BCHE","ENSG00000114200","ENSP00000264381",590
-4.4179429,-2.95785275,2.00339095654587,1.31579821004867,20,10,"D3DPU2;B4DNW7;B4DI38;B2RDY9;B4DNY3;Q01518;B4DNA3;B4DUZ8","CAP1","ENSG00000131236","ENSP00000361883",10487
-3.7878671125,-2.83790925,2.05617829185596,1.31493003578351,20,10,"D3DQH8;P09486;B2RDL6;B4DRV4;F5GY03","SPARC","ENSG00000113140","ENSP00000231061",6678
6.048396,0.53899027,3.00544461160233,1.86679925368899,20,10,"D3DQX7","SAA1","ENSG00000288411","ENSP00000500630",6288
3.079640775,3.8213875,1.29105422512131,0.861940519104196,20,10,"D3JV41;P02775;D3JV43;D3JV42","PPBP","ENSG00000163736","ENSP00000296028",5473
6.291559,6.56600225,0.852123272541504,0.743392981710334,20,10,"D9IWP9;P02749","APOH","ENSG00000091583","ENSP00000205948",350
-0.0836862249999999,-2.64416515,3.934740010364,1.68392313109351,20,10,"D9YZU5;P68871;C8C504;Q9UK54;Q14473;Q6V0K9;Q52MT0;Q0Z944;E9NGZ5;B3VL05;Q9BWV6;Q9GZL9;B3VL86;Q3Y9I8;Q8IUL9;Q4TWB7;A0A1B4WRL5;Q4TZM4;Q4JLR8;B2M1S6;A1YZ08;Q9BWU5;Q8IZI0;Q3LR79;B3VL31","HBB","ENSG00000244734","ENSP00000333994",3043
6.334823,6.1073795,0.912150997188572,0.479781255570645,20,10,"D9ZGG2;P04004;J7HH10","VTN","ENSG00000109072","ENSP00000226218",7448
5.24725575,4.63418525,0.996300781898343,0.748354272567525,20,10,"E9KL23;P01009","SERPINA1","ENSG00000277377","ENSP00000486067",5265
